parameters,price_,notebook_id
"Гарантия: 1 год; ЗД для отчета BI/BO: 14""/1920x1080 пикс./IPS/Intel/Celeron/Intel HD Graphics 500/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 2; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.40 ГГц; Модель: NB284; Модель процессора: N3350; ОС Window",15999,154
"Гарантия: 1 год; ЗД для отчета BI/BO: 11.6""/1366x768 пикс./IPS/Intel/Celeron/Intel HD Graphics/4 ГБ/64 ГБ/Windows 10 Pro; Количество ядер: 2; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.4 ГГц; Модель: NB122; Модель процессора: N3350; ОС Windows: ус",15999,172
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1366x768 пикс./TN/Intel/Pentium/Intel HD Graphics/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.64 ГГц; Модель: NB287; Модель процессора: J3710; ОС Windows: у",18999,798
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1366x768 пикс./TN/Intel/Pentium/Intel HD Graphics/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.64 ГГц; Модель: NB286; Модель процессора: J3710; ОС Windows: у",18999,420
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1366x768 пикс./TN/Intel/Pentium/Intel HD Graphics/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.64 ГГц; Модель: NB288; Модель процессора: J3710; ОС Windows: у",18999,434
"Гарантия: 1 год; ЗД для отчета BI/BO: 13.5""/3000x2000пикс./IPS/Intel/Pentium/Intel HD Graphics/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.64 ГГц; Модель: NB657; Модель процессора: J3710; ОС Windows:",19999,291
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Pentium/Intel HD Graphics/4 ГБ/128 ГБ/Windows 10 Домашняя; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.64 ГГц; Модель: NB268; Модель процессора: J3710; ОС Win",19999,885
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1366x768 пикс./TN/Intel/Core i3/Intel UHD Graphics/4 ГБ/1 ТБ/не установлена; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 4.1 ГГц; Модель процессора:",29999,502
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i3/Intel UHD Graphics/8 ГБ/256 ГБ/Windows 11 Домашняя; Количество ядер: 2; Кэш-память: 6 МБ; Максимальная тактовая частота: 4.1 ГГц; Модель процессора: 1115G4; ОС Windows: установл",39999,663
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./TFT/AMD/Ryzen 7/Radeon Graphics/8 ГБ/512 ГБ/не установлена; Количество ядер: 8; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.3 ГГц; Модель процессора: 5",47999,641
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 5/Radeon/8 ГБ/512 ГБ/Windows 10 Домашняя 64; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4 ГГц; Модель: A515-45; Модель процессора: 5500U; ОС Windows: устан",49999,770
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/Intel Iris Xe Graphics/8 ГБ/512 ГБ/Windows 11 Домашняя; Количество ядер: 4; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 11300H; ОС Windows: уста",49999,829
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./TN/AMD/Ryzen 5/Radeon Graphics/8 ГБ/512 ГБ/Windows 11 Домашняя; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4 ГГц; Модель процессора: 5500U; ОС Windows: установлена; Опер",54999,101
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./AHVA/Intel/Core i5/GeForce RTX 3050 для ноутбуков 4GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 8; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 12450H; ОС Win",99999,175
"Гарантия: 1 год; ЗД для отчета BI/BO: 17.3""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3060 для ноутбуков 6GB/8 ГБ/256 ГБ/не установлена; Количество ядер: 6; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.5 ГГц; Модель процессора: 11400H; ОС Windo",99999,60
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./AHVA/Intel/Core i5/GeForce RTX 3050 для ноутбуков 4GB/16 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 8; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 12450H",99999,119
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./AHVA/Intel/Core i5/GeForce RTX 3060 для ноутбуков 6GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 8; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 12450H; ОС Win",99999,175
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i7/GeForce RTX 3060 для ноутбуков 6GB/16 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 6; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.5 ГГц; Модель процессора: 11400Н;",109999,250
"Гарантия: 1 год; ЗД для отчета BI/BO: 17.3""/1920x1080 пикс./AHVA/Intel/Core i5/GeForce RTX 3060 для ноутбуков 6GB/16 ГБ/512 ГБ/Windows 11 Pro 64; Количество ядер: 8; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 12450H; ОС",109999,255
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./AHVA/AMD/Ryzen 7/GeForce RTX 3070 для ноутбуков 8GB/16 ГБ/512 ГБ/Windows 11 Pro 64; Количество ядер: 8; Кэш-память: 16 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 5800H; ОС Win",129999,873
"Гарантия: 1 год; ЗД для отчета BI/BO: 16""/2560x1600 пикс./IPS/Intel/Core i7/GeForce RTX 3070 Ti для ноутбуков 8GB/32 ГБ/1 ТБ/Windows 11 Домашняя 64; Количество ядер: 14; Кэш-память: 24 МБ; Максимальная тактовая частота: 4.7 ГГц; Модель процессора: 12700H;",199999,950
